Cluster_ID,Latitude,Longitude,Size_pixels,Area_km2,Risk_Level
232,11.23722,79.00628,7,0.07,MEDIUM
233,11.23632,78.61883,4,0.04,MEDIUM
234,11.23274,79.01973,13,0.13,MEDIUM
235,11.23453,79.13274,5,0.05,MEDIUM
236,11.23274,78.80807,4,0.04,MEDIUM
237,11.23363,79.15964,4,0.04,MEDIUM
238,11.22825,78.8852,39,0.39,HIGH
239,11.23274,78.95067,4,0.04,MEDIUM
240,11.23004,78.89686,4,0.04,MEDIUM
241,11.22287,79.19013,55,0.55,HIGH
242,11.21839,79.10673,50,0.5,HIGH
243,11.22825,78.98027,5,0.05,MEDIUM
244,11.22735,79.15785,9,0.09,MEDIUM
245,11.22377,78.92018,112,1.12,HIGH
246,11.22646,79.06457,4,0.04,MEDIUM
247,11.22108,78.87175,4,0.04,MEDIUM
248,11.22197,78.96861,5,0.05,MEDIUM
249,11.21928,78.73901,8,0.08,MEDIUM
250,11.21659,79.12287,12,0.12,MEDIUM
251,11.21749,79.15874,6,0.06,MEDIUM
252,11.213,78.95426,18,0.18,MEDIUM
253,11.21749,78.97668,4,0.04,MEDIUM
254,11.21749,79.16771,27,0.27,HIGH
255,11.21749,78.61345,5,0.05,MEDIUM
256,11.21211,78.92735,4,0.04,MEDIUM
257,11.20852,78.9426,8,0.08,MEDIUM
258,11.20404,78.91211,10,0.1,MEDIUM
259,11.20583,78.99372,7,0.07,MEDIUM
260,11.20493,79.15874,6,0.06,MEDIUM
261,11.19507,79.11749,64,0.64,HIGH
262,11.19865,79.13363,72,0.72,HIGH
263,11.20045,78.64664,10,0.1,MEDIUM
264,11.20135,78.74081,5,0.05,MEDIUM
265,11.19955,78.72466,20,0.2,MEDIUM
266,11.20045,78.82422,7,0.07,MEDIUM
267,11.19865,78.87354,8,0.08,MEDIUM
268,11.19776,78.96233,5,0.05,MEDIUM
269,11.18341,79.08789,153,1.53,HIGH
270,11.187,78.98027,280,2.8,HIGH
271,11.19058,79.15067,23,0.23,HIGH
272,11.18969,79.18386,50,0.5,HIGH
273,11.19238,78.86726,6,0.06,MEDIUM
274,11.187,78.99731,4,0.04,MEDIUM
275,11.19148,79.16233,5,0.05,MEDIUM
276,11.1843,79.01883,8,0.08,MEDIUM
277,11.18789,78.84484,4,0.04,MEDIUM
278,11.1852,79.05471,8,0.08,MEDIUM
279,11.1861,78.92735,15,0.15,MEDIUM
280,11.1843,79.1417,11,0.11,MEDIUM
281,11.1852,79.04664,5,0.05,MEDIUM
282,11.1843,78.95157,4,0.04,MEDIUM
283,11.17982,78.88072,12,0.12,MEDIUM
284,11.17892,78.63139,4,0.04,MEDIUM
285,11.17534,79.15605,9,0.09,MEDIUM
286,11.17354,79.04664,12,0.12,MEDIUM
287,11.16547,78.86547,145,1.45,HIGH
288,11.17085,78.91749,7,0.07,MEDIUM
289,11.16996,78.77848,11,0.11,MEDIUM
290,11.16906,79.00717,11,0.11,MEDIUM
291,11.16816,78.62601,15,0.15,MEDIUM
292,11.16906,78.69596,8,0.08,MEDIUM
293,11.13229,79.13722,908,9.08,HIGH
294,11.16637,79.17848,16,0.16,MEDIUM
295,11.16547,78.6843,8,0.08,MEDIUM
296,11.16368,79.14978,7,0.07,MEDIUM
297,11.16368,79.05561,4,0.04,MEDIUM
298,11.16457,79.16682,4,0.04,MEDIUM
299,11.1574,78.6009,46,0.46,HIGH
300,11.16278,78.72018,7,0.07,MEDIUM
301,11.16009,78.84395,24,0.24,HIGH
302,11.1574,79.03946,45,0.45,HIGH
303,11.15919,78.7713,4,0.04,MEDIUM
304,11.1565,79.01166,5,0.05,MEDIUM
305,11.13946,79.07265,156,1.56,HIGH
306,11.15471,78.73812,6,0.06,MEDIUM
307,11.12242,78.90404,658,6.58,HIGH
308,11.15022,79.17848,23,0.23,HIGH
309,11.15022,79.13184,11,0.11,MEDIUM
310,11.15202,78.7713,9,0.09,MEDIUM
311,11.15112,78.86547,6,0.06,MEDIUM
312,11.14843,78.64664,5,0.05,MEDIUM
313,11.14843,78.66637,4,0.04,MEDIUM
314,11.14753,79.04574,4,0.04,MEDIUM
315,11.14753,79.00897,4,0.04,MEDIUM
316,11.14036,79.03498,8,0.08,MEDIUM
317,11.14036,79.19193,10,0.1,MEDIUM
318,11.13946,78.62691,5,0.05,MEDIUM
319,11.13857,78.69148,5,0.05,MEDIUM
320,11.13857,78.87354,18,0.18,MEDIUM
321,11.13857,79.0009,6,0.06,MEDIUM
322,11.13767,79.17578,4,0.04,MEDIUM
323,11.13587,78.77489,15,0.15,MEDIUM
324,11.13408,78.6565,8,0.08,MEDIUM
325,11.13139,78.80717,30,0.3,HIGH
326,11.1287,78.69686,31,0.31,HIGH
327,11.13049,78.83139,5,0.05,MEDIUM
328,11.1296,79.12018,7,0.07,MEDIUM
329,11.12601,79.08879,4,0.04,MEDIUM
330,11.12511,78.95874,7,0.07,MEDIUM
331,11.12152,79.10493,7,0.07,MEDIUM
332,11.11794,78.84395,82,0.82,HIGH
333,11.12152,79.02601,6,0.06,MEDIUM
334,11.11973,78.78834,5,0.05,MEDIUM
335,11.11973,78.95067,6,0.06,MEDIUM
336,11.11794,78.99731,6,0.06,MEDIUM
337,11.11704,78.93901,6,0.06,MEDIUM
338,11.11435,79.04305,4,0.04,MEDIUM
339,11.11256,78.97848,10,0.1,MEDIUM
340,11.11256,79.08072,5,0.05,MEDIUM
341,11.11166,79.12377,7,0.07,MEDIUM
342,11.10807,79.02152,9,0.09,MEDIUM
343,11.10987,78.65291,6,0.06,MEDIUM
344,11.10897,78.92466,5,0.05,MEDIUM
345,11.10538,78.67265,10,0.1,MEDIUM
346,11.10448,79.04215,35,0.35,HIGH
347,11.10359,78.8583,17,0.17,MEDIUM
348,11.10538,79.07803,6,0.06,MEDIUM
349,11.10179,78.77937,6,0.06,MEDIUM
